                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1555,                  2.318,                 1.4959,                0.41962,                 0.4008,                0.36029,                0.20366,                 1.4296,                 2.3596,                 1.6654,             0.00055524,             0.00055524,             0.00055524
                      2,                 1.2014,                 2.0505,                 1.5241,                0.39279,                0.40842,                0.35413,                0.20726,                 1.3683,                 2.2529,                 1.5752,              0.0010743,              0.0010743,              0.0010743
                      3,                 1.1627,                 1.9588,                 1.4988,                0.45315,                 0.4095,                0.42712,                0.25829,                  1.308,                 2.0338,                 1.4901,              0.0015566,              0.0015566,              0.0015566
                      4,                 1.0961,                  1.857,                 1.4462,                0.57402,                0.51847,                 0.5581,                0.35966,                 1.2607,                 1.7669,                  1.455,               0.001502,               0.001502,               0.001502
                      5,                 1.0677,                   1.76,                 1.4211,                 0.5828,                0.51991,                0.56544,                0.37608,                 1.1797,                 1.7424,                 1.3607,               0.001502,               0.001502,               0.001502
                      6,                 1.0156,                 1.6823,                 1.3878,                 0.6582,                0.56108,                0.61954,                0.43382,                 1.0688,                 1.4829,                 1.2551,               0.001447,               0.001447,               0.001447
                      7,                0.99855,                 1.6186,                  1.371,                0.67499,                0.58792,                0.67802,                0.47834,                 1.0332,                 1.4065,                 1.2214,              0.0013919,              0.0013919,              0.0013919
                      8,                0.96159,                 1.5714,                 1.3502,                0.72074,                0.63121,                0.71366,                0.51101,                 1.0053,                 1.3234,                 1.1905,              0.0013369,              0.0013369,              0.0013369
                      9,                0.94195,                  1.534,                 1.3337,                0.73097,                 0.6347,                0.72891,                0.53126,                0.98195,                 1.2405,                 1.1687,              0.0012819,              0.0012819,              0.0012819
                     10,                0.91371,                  1.478,                 1.3165,                0.70494,                0.59392,                0.69686,                0.51379,                0.94131,                 1.3293,                 1.1377,              0.0012269,              0.0012269,              0.0012269
                     11,                0.90536,                 1.4534,                 1.3107,                0.76045,                0.64848,                  0.756,                0.55497,                0.93473,                 1.1527,                 1.1328,              0.0011719,              0.0011719,              0.0011719
                     12,                0.88201,                 1.4135,                  1.295,                0.77974,                0.62566,                0.74042,                0.54976,                0.91304,                  1.166,                 1.1097,              0.0011169,              0.0011169,              0.0011169
                     13,                0.87216,                  1.392,                   1.29,                 0.7482,                0.66133,                0.74616,                0.55527,                0.91832,                  1.179,                 1.1244,              0.0010619,              0.0010619,              0.0010619
                     14,                0.86922,                  1.361,                  1.283,                0.76145,                0.65911,                0.76416,                0.58281,                0.86977,                 1.1547,                 1.0697,              0.0010069,              0.0010069,              0.0010069
                     15,                 0.8423,                 1.3146,                 1.2687,                0.80548,                0.66991,                0.78125,                0.59205,                0.88576,                 1.0759,                 1.0796,             0.00095186,             0.00095186,             0.00095186
                     16,                 0.8325,                  1.312,                 1.2624,                0.77195,                0.68195,                0.77518,                0.59676,                0.83293,                 1.0737,                 1.0374,             0.00089685,             0.00089685,             0.00089685
                     17,                0.82264,                 1.2911,                  1.256,                0.76411,                0.70106,                0.78873,                0.60777,                0.83053,                 1.0764,                   1.03,             0.00084184,             0.00084184,             0.00084184
                     18,                 0.8183,                 1.2711,                 1.2517,                0.78363,                0.70486,                0.79336,                0.61165,                0.84259,                 1.0355,                 1.0375,             0.00078682,             0.00078682,             0.00078682
                     19,                0.81597,                  1.244,                  1.247,                0.80605,                0.71109,                0.81184,                0.63045,                 0.8236,                0.97081,                 1.0225,             0.00073181,             0.00073181,             0.00073181
                     20,                0.80501,                 1.2223,                 1.2451,                0.80309,                0.69961,                0.80046,                0.62704,                0.81347,                0.99427,                 1.0092,              0.0006768,              0.0006768,              0.0006768
                     21,                0.86824,                 1.1232,                 1.3213,                0.82064,                0.69868,                0.80993,                0.63534,                0.79144,                0.98062,                0.99147,             0.00062179,             0.00062179,             0.00062179
                     22,                0.84539,                 1.0623,                  1.313,                0.77851,                0.71486,                0.80673,                0.64111,                0.76132,                0.97037,                0.98025,             0.00056678,             0.00056678,             0.00056678
                     23,                0.82654,                  1.042,                 1.2957,                0.81664,                0.72432,                0.82177,                0.64733,                0.78271,                0.92779,                0.98759,             0.00051177,             0.00051177,             0.00051177
                     24,                0.81415,                 1.0114,                 1.2915,                0.80799,                0.72385,                0.81538,                0.65085,                0.76228,                0.93037,                 0.9793,             0.00045676,             0.00045676,             0.00045676
                     25,                0.79301,                0.96967,                 1.2763,                0.83162,                 0.7324,                0.82628,                0.66618,                0.74749,                0.89183,                0.96037,             0.00040175,             0.00040175,             0.00040175
                     26,                0.78253,                0.94613,                 1.2704,                0.84807,                0.71921,                0.82849,                0.66508,                0.74152,                0.88402,                0.96357,             0.00034674,             0.00034674,             0.00034674
                     27,                0.76274,                0.91589,                 1.2558,                0.83009,                0.73799,                0.82924,                0.66555,                0.74709,                0.88206,                 0.9595,             0.00029172,             0.00029172,             0.00029172
                     28,                0.75985,                0.88398,                 1.2548,                0.83467,                0.75176,                0.83689,                0.67626,                0.73486,                0.85222,                0.95025,             0.00023671,             0.00023671,             0.00023671
                     29,                0.74669,                0.87384,                 1.2457,                0.84761,                0.73588,                0.83628,                0.67849,                0.72885,                0.84503,                0.93863,              0.0001817,              0.0001817,              0.0001817
                     30,                0.72831,                0.84988,                 1.2317,                0.82416,                0.75302,                0.83935,                0.68259,                0.71984,                 0.8545,                0.93282,             0.00012669,             0.00012669,             0.00012669
